city_ID,city,lat,lng,Min Temp,Max Temp,Humidity,Cloudiness
61,Steyr,48.05,14.4167,24.24,28.04,92,100
62,Bregenz,47.505,9.7492,30.24,48.56,81,100
63,Leonding,48.2792,14.2528,24.82,33.01,89,20
64,Klosterneuburg,48.3042,16.3167,26.74,31.03,90,100
65,Wolfsberg,46.8419,14.8408,26.4,28.78,68,99
66,Leoben,47.3817,15.0972,24.78,29.91,88,100
67,Krems an der Donau,48.4167,15.6167,26.71,30.65,91,100
68,Traun,48.2217,14.2397,25,28.8,89,20
69,Amstetten,48.1167,14.8667,25.02,33.21,93,100
70,Lustenau,47.4271,9.6711,30.29,48.6,79,100
71,Kapfenberg,47.4394,15.2894,25.25,30.36,88,100
72,Hallein,47.6667,13.0833,22.05,29.12,86,100
73,Mödling,48.0856,16.2831,26.47,30.76,91,100
74,Kufstein,47.5833,12.1667,27.54,33.96,95,100
75,Traiskirchen,48.0189,16.2922,26.82,31.1,91,100
76,Schwechat,48.1411,16.4786,27.27,31.55,90,100
77,Braunau am Inn,48.2583,13.0333,24.51,32.81,95,100
78,Stockerau,48.3858,16.2108,27.09,31.37,90,100
79,Saalfelden am Steinernen Meer,47.4269,12.8483,30.09,38.34,77,100
80,Hohenems,47.3667,9.6667,30.18,48.51,83,100
81,Ansfelden,48.2083,14.2889,24.8,28.6,89,20
82,Bruck an der Mur,47.4106,15.2686,25.32,30.43,88,100
83,Telfs,47.3069,11.0722,27.75,44.44,81,100
84,Spittal an der Drau,46.7917,13.4958,36.3,40.62,83,91
85,Perchtoldsdorf,48.1167,16.2667,26.06,30.7,91,100
86,Ternitz,47.7167,16.0333,24.53,26.58,70,100
87,Bludenz,47.1533,9.8219,30.11,46.74,100,100
88,Eisenstadt,47.8456,16.5189,27.12,31.59,92,100
89,Feldkirchen,46.7236,14.0919,23.58,36.95,97,94
90,Bad Ischl,47.7115,13.6239,24.51,33.35,76,100
91,Hall in Tirol,47.2833,11.5,28.51,45.21,71,20
