city_ID,city,lat,lng,country,population
177,São Bernardo do Campo,-23.6939,-46.565,Brazil,816925.0
178,João Pessoa,-7.12,-34.88,Brazil,801718.0
179,Abaeté,-19.1583,-45.4522,Brazil,800000.0
180,Santo André,-23.6572,-46.5333,Brazil,710210.0
181,Jaboatão,-8.1803,-35.0014,Brazil,702621.0
182,Osasco,-23.5328,-46.7919,Brazil,694844.0
183,São José dos Campos,-23.1789,-45.8869,Brazil,688597.0
184,Ribeirão Prêto,-21.1783,-47.8067,Brazil,666323.0
185,Contagem,-19.9319,-44.0539,Brazil,648766.0
186,Sorocaba,-23.5019,-47.4578,Brazil,644919.0
187,Aracaju,-10.9167,-37.05,Brazil,632744.0
188,Feira de Santana,-12.2669,-38.9669,Brazil,617528.0
189,Uberlândia,-18.9189,-48.2769,Brazil,604013.0
190,Cuiabá,-15.5958,-56.0969,Brazil,585367.0
191,Juiz de Fora,-21.75,-43.35,Brazil,555284.0
192,Londrina,-23.31,-51.1628,Brazil,548249.0
193,Joinvile,-26.3039,-48.8458,Brazil,515288.0
194,Ananindeua,-1.3658,-48.3719,Brazil,510834.0
195,Niterói,-22.8833,-43.1036,Brazil,496696.0
196,Serra,-20.1289,-40.3078,Brazil,485376.0
197,Florianópolis,-27.5933,-48.553,Brazil,477798.0
198,Macapá,0.033,-51.0653,Brazil,474706.0
199,Vila Velha,-20.3364,-40.2936,Brazil,472762.0
200,Campos,-21.7539,-41.3239,Brazil,463731.0
201,Mauá,-23.6678,-46.4608,Brazil,453286.0
202,São José do Rio Prêto,-20.82,-49.3789,Brazil,442548.0
203,Caxias do Sul,-29.1678,-51.1789,Brazil,435564.0
204,Toronto,43.7417,-79.3733,Canada,5429524.0
205,Montréal,45.5089,-73.5617,Canada,3519595.0
206,Vancouver,49.25,-123.1,Canada,2264823.0
207,Calgary,51.05,-114.0667,Canada,1239220.0
208,Edmonton,53.5344,-113.4903,Canada,1062643.0
209,Ottawa,45.4247,-75.695,Canada,989567.0
210,Mississauga,43.6,-79.65,Canada,721599.0
211,Winnipeg,49.8844,-97.1464,Canada,705244.0
212,Quebec City,46.8139,-71.2081,Canada,705103.0
213,Hamilton,43.2567,-79.8692,Canada,693645.0
214,Brampton,43.6833,-79.7667,Canada,593638.0
215,Surrey,49.19,-122.8489,Canada,517887.0
216,Kitchener,43.4186,-80.4728,Canada,470015.0
217,Laval,45.5833,-73.75,Canada,422993.0
218,Halifax,44.6475,-63.5906,Canada,403131.0
219,London,42.9836,-81.2497,Canada,383822.0
220,Victoria,48.4283,-123.3647,Canada,335696.0
221,Markham,43.8767,-79.2633,Canada,328966.0
222,St. Catharines,43.1833,-79.2333,Canada,309319.0
223,Niagara Falls,43.06,-79.1067,Canada,308596.0
224,Vaughan,43.8333,-79.5,Canada,306233.0
225,Gatineau,45.4833,-75.65,Canada,276245.0
226,Windsor,42.2833,-83.0,Canada,276165.0
227,Saskatoon,52.1333,-106.6833,Canada,246376.0
228,Longueuil,45.5333,-73.5167,Canada,239700.0
229,Burnaby,49.2667,-122.9667,Canada,232755.0
230,Regina,50.4547,-104.6067,Canada,215106.0
231,Richmond,49.1667,-123.1333,Canada,198309.0
232,Richmond Hill,43.8667,-79.4333,Canada,195022.0
233,Oakville,43.45,-79.6833,Canada,193832.0
234,Burlington,43.3167,-79.8,Canada,183314.0
235,Barrie,44.3711,-79.6769,Canada,172657.0
236,Oshawa,43.9,-78.85,Canada,166000.0
237,Sherbrooke,45.4,-71.9,Canada,161323.0
238,Saguenay,48.4167,-71.0667,Canada,144746.0
239,Lévis,46.8,-71.1833,Canada,143414.0
240,Kelowna,49.8881,-119.4956,Canada,142146.0
241,Abbotsford,49.05,-122.3167,Canada,141397.0
242,Coquitlam,49.2839,-122.7919,Canada,139284.0
243,Trois-Rivières,46.35,-72.55,Canada,134413.0
244,Guelph,43.55,-80.25,Canada,131794.0
245,Cambridge,43.3972,-80.3114,Canada,129920.0
246,Whitby,43.8833,-78.9417,Canada,128377.0
247,Ajax,43.8583,-79.0364,Canada,119677.0
248,Langley,49.1044,-122.5827,Canada,117285.0
249,Saanich,48.484,-123.381,Canada,114148.0
250,Terrebonne,45.7,-73.6333,Canada,111575.0
251,Milton,43.5083,-79.8833,Canada,110128.0
252,St. John's,47.4817,-52.7971,Canada,108860.0
253,Moncton,46.1328,-64.7714,Canada,108620.0
254,Santiago,-33.45,-70.6667,Chile,7026000.0
255,Puente Alto,-33.6167,-70.5833,Chile,573935.0
256,Maipú,-33.5167,-70.7667,Chile,521627.0
257,La Florida,-33.55,-70.5667,Chile,366916.0
258,Antofagasta,-23.6464,-70.398,Chile,348517.0
259,Viña del Mar,-33.0245,-71.5518,Chile,332875.0
260,San Bernardo,-33.6,-70.7167,Chile,301313.0
261,Valparaíso,-33.0458,-71.6197,Chile,296655.0
262,Temuco,-38.7399,-72.5901,Chile,282415.0
263,Las Condes,-33.4167,-70.5833,Chile,249893.0
264,Rancagua,-34.1654,-70.7398,Chile,231370.0
265,Concepción,-36.8271,-73.0503,Chile,217537.0
266,Talca,-35.4269,-71.6656,Chile,206069.0
267,Coquimbo,-29.9532,-71.338,Chile,204068.0
268,Arica,-18.4784,-70.3211,Chile,202131.0
269,La Serena,-29.9027,-71.252,Chile,195382.0
270,Iquique,-20.2141,-70.1524,Chile,188003.0
271,Puerto Montt,-41.4718,-72.9396,Chile,169736.0
272,Chillán,-36.6067,-72.1033,Chile,164270.0
273,Calama,-22.4624,-68.9272,Chile,157575.0
274,Copiapó,-27.3665,-70.3323,Chile,150804.0
275,Valdivia,-39.8142,-73.2459,Chile,150048.0
276,Quilpué,-33.0498,-71.4415,Chile,147991.0
277,Talcahuano,-36.7145,-73.1141,Chile,147831.0
278,Osorno,-40.5667,-73.15,Chile,147460.0
279,Colina,-33.2,-70.6833,Chile,146207.0
280,Los Ángeles,-37.4707,-72.3517,Chile,143023.0
281,Curicó,-34.9854,-71.2394,Chile,136954.0
282,Villa Alemana,-33.0428,-71.3744,Chile,125140.0
283,Melipilla,-33.7,-71.2167,Chile,123627.0
284,Punta Arenas,-53.1627,-70.9081,Chile,123403.0
285,La Granja,-33.5431,-70.6319,Chile,116571.0
286,Coronel,-37.0167,-73.1333,Chile,116262.0
287,Alto Hospicio,-20.25,-70.1167,Chile,108375.0
288,Lo Barnechea,-33.35,-70.5167,Chile,105833.0
289,Espejo,-33.5333,-70.7167,Chile,98804.0
290,Buin,-33.7333,-70.75,Chile,96614.0
291,San Joaquín,-33.5,-70.6167,Chile,94492.0
292,La Reina,-33.45,-70.55,Chile,92787.0
293,Peñaflor,-33.6167,-70.9167,Chile,90201.0
294,San Antonio,-33.5809,-71.6132,Chile,86239.0
295,Chiguayante,-36.9167,-73.0167,Chile,85863.0
296,Ovalle,-30.6031,-71.203,Chile,75864.0
297,Linares,-35.8454,-71.5979,Chile,73602.0
298,Quillota,-32.8799,-71.2474,Chile,73261.0
299,San Felipe,-32.7507,-70.7251,Chile,64120.0
300,Coyhaique,-45.5712,-72.0685,Chile,61210.0
301,Los Andes,-32.8337,-70.5982,Chile,59388.0
302,San Fernando,-34.5839,-70.9891,Chile,58367.0
303,Talagante,-33.6667,-70.9333,Chile,56990.0
304,San José,9.9333,-84.0833,Costa Rica,288054.0
305,Puerto Limón,10.0022,-83.084,Costa Rica,60710.0
306,Alajuela,10.0311,-84.2041,Costa Rica,48326.0
307,Liberia,10.6338,-85.4333,Costa Rica,45380.0
308,Puntarenas,9.9764,-84.8339,Costa Rica,41528.0
309,Quesada,10.3305,-84.44,Costa Rica,31106.0
310,Buenos Aires,9.1985,-83.2816,Costa Rica,29454.0
311,San Juan,9.9609,-84.0731,Costa Rica,25866.0
312,Cartago,9.8667,-83.9167,Costa Rica,22775.0
313,Cañas,10.43,-85.1,Costa Rica,20306.0
314,Heredia,9.9985,-84.1169,Costa Rica,18988.0
315,Colón,9.9096,-84.262,Costa Rica,17411.0
316,Santa Ana,9.932,-84.176,Costa Rica,12956.0
317,Santiago,9.8291,-84.3044,Costa Rica,12600.0
318,Sixaola,9.5579,-82.6698,Costa Rica,11847.0
319,Golfito,8.65,-83.15,Costa Rica,6777.0
320,La Cruz,11.0704,-85.63,Costa Rica,4319.0
321,Ciudad Cortés,8.96,-83.5239,Costa Rica,3850.0
322,Copenhagen,55.6805,12.5615,Denmark,1085000.0
323,Aarhus,56.1572,10.2107,Denmark,237551.0
324,Odense,55.4004,10.3833,Denmark,158222.0
325,Aalborg,57.0337,9.9166,Denmark,122219.0
326,Esbjerg,55.467,8.45,Denmark,72205.0
327,Vejle,55.709,9.535,Denmark,51177.0
328,Roskilde,55.65,12.0833,Denmark,44285.0
329,Viborg,56.4333,9.4,Denmark,34831.0
330,Svendborg,55.0704,10.6167,Denmark,29180.0
331,Hillerød,55.9333,12.3167,Denmark,28313.0
332,Frederikshavn,57.4337,10.5333,Denmark,24103.0
333,Sorø,55.433,11.5667,Denmark,7167.0
334,San Salvador,13.6989,-89.1914,El Salvador,567698.0
335,Usulután,13.35,-88.45,El Salvador,378606.0
336,Santa Ana,13.9833,-89.5333,El Salvador,270413.0
337,San Miguel,13.4833,-88.1833,El Salvador,218410.0
338,Mejicanos,13.7403,-89.2131,El Salvador,140751.0
339,Santa Tecla,13.6742,-89.2899,El Salvador,135483.0
340,Apopa,13.8,-89.1833,El Salvador,131286.0
341,Delgado,13.7167,-89.1667,El Salvador,120200.0
342,Ahuachapán,13.9214,-89.845,El Salvador,110511.0
343,Sonsonate,13.7167,-89.7167,El Salvador,110501.0
344,Colón,13.7167,-89.3667,El Salvador,96989.0
345,Acajutla,13.5928,-89.8275,El Salvador,92000.0
346,Chalchuapa,13.9833,-89.6833,El Salvador,90000.0
347,Zacatecoluca,13.5,-88.8667,El Salvador,75100.0
348,Cuscatancingo,13.7333,-89.1833,El Salvador,66400.0
349,Quezaltepeque,13.8312,-89.2722,El Salvador,56181.0
350,San Vicente,13.6333,-88.8,El Salvador,53213.0
351,Nahuizalco,13.7833,-89.7333,El Salvador,49081.0
352,Cojutepeque,13.7167,-88.9333,El Salvador,48411.0
353,Jiquilisco,13.3167,-88.5833,El Salvador,47784.0
354,San Pedro Perulapán,13.7667,-89.0333,El Salvador,44730.0
355,Panchimalco,13.6094,-89.1792,El Salvador,41260.0
356,Ciudad Barrios,13.7667,-88.2667,El Salvador,40500.0
357,Santiago Nonualco,13.5167,-88.95,El Salvador,39887.0
358,Armenia,13.75,-89.5,El Salvador,34912.0
359,Atiquizaya,13.9667,-89.75,El Salvador,33587.0
360,Tacuba,13.9,-89.9333,El Salvador,29858.0
361,La Unión,13.3369,-87.8439,El Salvador,29733.0
362,Chalatenango,14.0333,-88.9333,El Salvador,29271.0
363,Sensuntepeque,13.8667,-88.6333,El Salvador,26989.0
364,Sonzacate,13.7342,-89.7147,El Salvador,25005.0
365,Juayúa,13.8436,-89.746,El Salvador,24465.0
366,San Francisco,13.7,-88.1,El Salvador,21049.0
367,Guaymango,13.75,-89.8333,El Salvador,19775.0
368,Puerto El Triunfo,13.2833,-88.55,El Salvador,19600.0
369,Santiago de María,13.4833,-88.4667,El Salvador,18201.0
370,Concepción de Ataco,13.8667,-89.85,El Salvador,18101.0
371,San Alejo,13.4333,-87.9667,El Salvador,17598.0
372,Metapán,14.3333,-89.45,El Salvador,16620.0
373,Anamorós,13.7333,-87.8667,El Salvador,16594.0
374,El Paisnal,13.9667,-89.2167,El Salvador,14551.0
375,Tepecoyo,13.7003,-89.4678,El Salvador,14322.0
376,Cuisnahuat,13.6333,-89.6,El Salvador,12676.0
377,Teotepeque,13.5853,-89.5183,El Salvador,12320.0
378,Jocoro,13.6167,-88.0167,El Salvador,10060.0
379,Caluco,13.7167,-89.6667,El Salvador,9139.0
380,Estanzuelas,13.65,-88.5,El Salvador,9015.0
381,Nueva Guadalupe,13.5333,-88.35,El Salvador,8905.0
382,Agua Caliente,14.1667,-89.2167,El Salvador,8261.0
383,El Porvenir,14.0207,-89.6471,El Salvador,8232.0
384,Helsinki,60.1756,24.9342,Finland,642045.0
385,Espoo,60.21,24.66,Finland,269802.0
386,Tampere,61.4981,23.76,Finland,225118.0
387,Vantaa,60.3,25.0333,Finland,214605.0
388,Oulu,65.0142,25.4719,Finland,200526.0
389,Turku,60.4517,22.27,Finland,187604.0
390,Jyväskylä,62.2333,25.7333,Finland,137368.0
391,Kuopio,62.8925,27.6783,Finland,120246.0
392,Lahti,60.9804,25.655,Finland,118119.0
393,Kouvola,60.8681,26.7042,Finland,85855.0
394,Pori,61.4847,21.7972,Finland,85363.0
395,Joensuu,62.6,29.7639,Finland,75514.0
396,Lappeenranta,61.0583,28.1861,Finland,72875.0
397,Hämeenlinna,61.0,24.4414,Finland,68011.0
398,Vaasa,63.1,21.6167,Finland,67619.0
399,Rovaniemi,66.5028,25.7285,Finland,61763.0
400,Seinäjoki,62.7903,22.8403,Finland,61530.0
401,Mikkeli,61.6875,27.2736,Finland,54665.0
402,Kotka,60.4667,26.9458,Finland,54319.0
403,Salo,60.3831,23.1331,Finland,53890.0
404,Porvoo,60.3931,25.6639,Finland,49928.0
405,Kokkola,63.8376,23.132,Finland,47570.0
406,Lohja,60.25,24.0667,Finland,46785.0
407,Hyvinkää,60.6306,24.8597,Finland,46463.0
408,Nurmijärvi,60.4667,24.8083,Finland,42709.0
409,Järvenpää,60.4722,25.0889,Finland,40106.0
410,Rauma,61.1167,21.5,Finland,39809.0
411,Kirkkonummi,60.1167,24.4167,Finland,38649.0
412,Tuusula,60.4028,25.0292,Finland,38646.0
413,Kajaani,64.225,27.7333,Finland,37622.0
414,Savonlinna,61.8667,28.8831,Finland,35523.0
415,Kerava,60.4028,25.1,Finland,35293.0
416,Nokia,61.4767,23.5053,Finland,33322.0
417,Ylöjärvi,61.55,23.5833,Finland,32738.0
418,Kaarina,60.4069,22.3722,Finland,32590.0
419,Kangasala,61.4639,24.065,Finland,32229.0
420,Jyväskylän Maalaiskunta,62.2889,25.7417,Finland,31870.0
421,Riihimäki,60.7333,24.7667,Finland,29269.0
422,Vihti,60.4167,24.3331,Finland,28919.0
423,Raseborg,59.975,23.4361,Finland,28405.0
424,Imatra,61.1931,28.7764,Finland,27835.0
425,Sastamala,61.3417,22.9083,Finland,25220.0
426,Raahe,64.6847,24.4792,Finland,25165.0
427,Raisio,60.4861,22.1694,Finland,24290.0
428,Hollola,60.9886,25.5128,Finland,23915.0
429,Lempäälä,61.3139,23.7528,Finland,22536.0
430,Iisalmi,63.5611,27.1889,Finland,21945.0
431,Tornio,65.8497,24.1441,Finland,21928.0
432,Siilinjärvi,63.075,27.66,Finland,21794.0
433,Kemi,65.7336,24.5634,Finland,21758.0
434,Paris,48.8566,2.3522,France,11027000.0
435,Marseille,43.2964,5.37,France,868277.0
436,Lyon,45.76,4.84,France,518635.0
437,Toulouse,43.6045,1.444,France,486828.0
438,Nice,43.7034,7.2663,France,341032.0
439,Nantes,47.2181,-1.5528,France,314138.0
440,Montpellier,43.6119,3.8772,France,290053.0
441,Strasbourg,48.5833,7.7458,France,284677.0
442,Bordeaux,44.84,-0.58,France,257068.0
443,Lille,50.6278,3.0583,France,233098.0
444,Rennes,48.1147,-1.6794,France,217728.0
445,Reims,49.2628,4.0347,France,182211.0
