city_ID,city,lat,lng,country,beach_name,beach_address,beach_rating
293,Peñaflor,-33.6167,-70.9167,Chile,Fantasilandia,"O'Higgins Park - Av. Beauchef 938, Santiago",4.6
294,San Antonio,-33.5809,-71.6132,Chile,Playa Algarrobo Norte,"Av costanera Algarrobo Norte Algarrobo, Valparaíso",4.7
295,Chiguayante,-36.9167,-73.0167,Chile,Playa Merquiche,"O-14-N 35580, Tomé",4.6
296,Ovalle,-30.6031,-71.203,Chile,Playa Grande - Tongoy,"Tongoy, Coquimbo",4.6
297,Linares,-35.8454,-71.5979,Chile,,,
298,Quillota,-32.8799,-71.2474,Chile,Playa La Boca Surf,"Av. Borgoño, Concón",4.5
299,San Felipe,-32.7507,-70.7251,Chile,,,
300,Coyhaique,-45.5712,-72.0685,Chile,,,
301,Los Andes,-32.8337,-70.5982,Chile,,,
302,San Fernando,-34.5839,-70.9891,Chile,,,
303,Talagante,-33.6667,-70.9333,Chile,Fantasilandia,"O'Higgins Park - Av. Beauchef 938, Santiago",4.6
304,San José,9.9333,-84.0833,Costa Rica,Playa Esterillos Oeste,"GFGV+CMV, C. Sirena, Esterillos Oeste",4.5
305,Puerto Limón,10.0022,-83.084,Costa Rica,Playa Puerto Viejo,"M65X+98X, Puerto Viejo de Talamanca",4.8
306,Alajuela,10.0311,-84.2041,Costa Rica,Playa Pita,"P9Q8+C3Q, Tarcoles",4.4
307,Liberia,10.6338,-85.4333,Costa Rica,Tour Brasilito beach,"C643+86J, 180, Brasilito",5.0
308,Puntarenas,9.9764,-84.8339,Costa Rica,Santa Teresa beach,"JRRJ+VFF, Unnamed Road, Santa Fe",4.7
309,Quesada,10.3305,-84.44,Costa Rica,Las Piedras,"X852+JF, Espíritu Santo",0.0
310,Buenos Aires,9.1985,-83.2816,Costa Rica,Playa Piñuelas,"38X7+4M2, Pérez Zeledón",4.5
311,San Juan,9.9609,-84.0731,Costa Rica,Playa Esterillos Oeste,"GFGV+CMV, C. Sirena, Esterillos Oeste",4.5
312,Cartago,9.8667,-83.9167,Costa Rica,Playa/beach Isla Damas,"FQ3V+6RF, Entrada a Isla Damas, Quepos",0.0
313,Cañas,10.43,-85.1,Costa Rica,Cristhofer Beach,"4RC7+6V, Chira",0.0
314,Heredia,9.9985,-84.1169,Costa Rica,Pejibaye River Beach,"R8F5+4V2 Rio del Valle, C. Pejibaye, Pejibaye District",0.0
315,Colón,9.9096,-84.262,Costa Rica,Playa Pita,"P9Q8+C3Q, Tarcoles",4.4
316,Santa Ana,9.932,-84.176,Costa Rica,Playa Pita,"P9Q8+C3Q, Tarcoles",4.4
317,Santiago,9.8291,-84.3044,Costa Rica,Playa Pita,"P9Q8+C3Q, Tarcoles",4.4
318,Sixaola,9.5579,-82.6698,Costa Rica,La Piscina Beach,"CPMQ+526, Bocas del Toro",4.6
319,Golfito,8.65,-83.15,Costa Rica,Matapalo Beach,"9PJ7+48J, Matapalo",4.4
320,La Cruz,11.0704,-85.63,Costa Rica,Manzanillo beach,"J9V3+34, Culebra",0.0
321,Ciudad Cortés,8.96,-83.5239,Costa Rica,Dominicalito Keys Beach,34,5.0
322,Copenhagen,55.6805,12.5615,Denmark,Charlottenlund Beach Park,"Strandvejen 150, Charlottenlund",4.4
323,Aarhus,56.1572,10.2107,Denmark,Marselisborg Strand,"Strandvejen 23, Aarhus",4.5
324,Odense,55.4004,10.3833,Denmark,Lehnskov Strand,"Lehnskov Strand 20-30, Svendborg",4.3
325,Aalborg,57.0337,9.9166,Denmark,Ejstrup Beach,"Ejstrup Strand, Brovst",4.7
326,Esbjerg,55.467,8.45,Denmark,Rindby beach,Fanø,4.7
327,Vejle,55.708999999999996,9.535,Denmark,Marselisborg Strand,"Strandvejen 23, Aarhus",4.5
328,Roskilde,55.65,12.0833,Denmark,Charlottenlund Beach Park,"Strandvejen 150, Charlottenlund",4.4
329,Viborg,56.4333,9.4,Denmark,Marselisborg Strand,"Strandvejen 23, Aarhus",4.5
330,Svendborg,55.0704,10.6167,Denmark,Nybølle Beach,"Husmandsvejen 0, Horslunde",4.2
331,Hillerød,55.9333,12.3167,Denmark,Charlottenlund Beach Park,"Strandvejen 150, Charlottenlund",4.4
332,Frederikshavn,57.4337,10.5333,Denmark,Kærsgård Strand,"Kærsgård Strandvej 19, Hirtshals",4.6
333,Sorø,55.433,11.5667,Denmark,Holbaek Harbor pool and beach,"Blegstræde 27, Holbæk",4.1
334,San Salvador,13.6989,-89.1914,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
335,Usulután,13.35,-88.45,El Salvador,Estero Jaltepeque,"8429+QPP, El Zapote",4.6
336,Santa Ana,13.9833,-89.5333,El Salvador,RANCHO BRISA DEL MAR BEACH,"J4M4+H9X, Metallo",5.0
337,San Miguel,13.4833,-88.1833,El Salvador,Torola Beach,"526Q+HXX, Unnamed Road, Playas Negras",5.0
338,Mejicanos,13.7403,-89.2131,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
339,Santa Tecla,13.6742,-89.2899,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
340,Apopa,13.8,-89.1833,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
341,Delgado,13.7167,-89.1667,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
342,Ahuachapán,13.9214,-89.845,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
343,Sonsonate,13.7167,-89.7167,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
344,Colón,13.7167,-89.3667,El Salvador,Cobanos beach,"G5GR+779, Unnamed Road, Los Cobanos",4.4
345,Acajutla,13.5928,-89.8275,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
346,Chalchuapa,13.9833,-89.6833,El Salvador,RANCHO BRISA DEL MAR BEACH,"J4M4+H9X, Metallo",5.0
347,Zacatecoluca,13.5,-88.8667,El Salvador,Recreational Park Costa del Sol,"82JC+MHM, Blvd. Costa del Sol, San Luis la Herradura",4.0
348,Cuscatancingo,13.7333,-89.1833,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
349,Quezaltepeque,13.8312,-89.2722,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
350,San Vicente,13.6333,-88.8,El Salvador,Recreational Park Costa del Sol,"82JC+MHM, Blvd. Costa del Sol, San Luis la Herradura",4.0
351,Nahuizalco,13.7833,-89.7333,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
352,Cojutepeque,13.7167,-88.9333,El Salvador,Recreational Park Costa del Sol,"82JC+MHM, Blvd. Costa del Sol, San Luis la Herradura",4.0
353,Jiquilisco,13.3167,-88.5833,El Salvador,Recreational Park Costa del Sol,"82JC+MHM, Blvd. Costa del Sol, San Luis la Herradura",4.0
354,San Pedro Perulapán,13.7667,-89.0333,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
355,Panchimalco,13.6094,-89.1792,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
356,Ciudad Barrios,13.7667,-88.2667,El Salvador,,,
357,Santiago Nonualco,13.5167,-88.95,El Salvador,Recreational Park Costa del Sol,"82JC+MHM, Blvd. Costa del Sol, San Luis la Herradura",4.0
358,Armenia,13.75,-89.5,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
359,Atiquizaya,13.9667,-89.75,El Salvador,Cobanos beach,"G5GR+779, Unnamed Road, Los Cobanos",4.4
360,Tacuba,13.9,-89.9333,El Salvador,Shalpa Beach,"Acceso Playa Shalpa 1a, Taquillo",4.7
361,La Unión,13.3369,-87.8439,El Salvador,Torola Beach,"526Q+HXX, Unnamed Road, Playas Negras",5.0
