city_ID,city,lat,lng,country,airport_name,airport_address,airport_rating
1148,Spišská Nová Ves,48.95,20.5667,Slovakia,Košice International Airport,"Letecká 41, Košice",4.0
1149,Komárno,47.7633,18.1283,Slovakia,Gyor-Per Airport,"Pér, Reptéri u. 1",4.9
1150,Humenné,48.9306,21.9122,Slovakia,Košice International Airport,"Letecká 41, Košice",4.0
1151,Liptovský Mikuláš,49.0811,19.6181,Slovakia,Poprad-Tatry Airport,"Na letisko 100, Poprad",4.4
1152,Bardejov,49.295,21.2758,Slovakia,Pod hruškou,Vranov nad Topľou,0.0
1153,Levice,48.2136,18.6069,Slovakia,Sliač Airport,Sliač,4.4
1154,Lučenec,48.3314,19.6708,Slovakia,Sliač Airport,Sliač,4.4
1155,Piešťany,48.5833,17.8333,Slovakia,Bratislava Airport,"Ivanská cesta, Bratislava",4.0
1156,Ružomberok,49.0786,19.3083,Slovakia,Sliač Airport,Sliač,4.4
1157,Topoľčany,48.55,18.1833,Slovakia,Piešťany Airport,"Žilinská cesta 597/81, Piešťany",4.4
1158,Pezinok,48.2667,17.2667,Slovakia,Bratislava Airport,"Ivanská cesta, Bratislava",4.0
1159,Trebišov,48.6333,21.7167,Slovakia,Košice International Airport,"Letecká 41, Košice",4.0
1160,Čadca,49.4386,18.7883,Slovakia,"Airport Zilina, Dolny Hricov",Dolný Hričov,4.6
1161,Dubnica nad Váhom,48.9575,18.1658,Slovakia,"Airport Zilina, Dolny Hricov",Dolný Hričov,4.6
1162,Rimavská Sobota,48.3814,20.02,Slovakia,Letisko Rimavská Seč,Zádor,0.0
1163,Partizánske,48.6333,18.3667,Slovakia,Piešťany Airport,"Žilinská cesta 597/81, Piešťany",4.4
1164,Dunajská Streda,47.9961,17.6147,Slovakia,Bratislava Airport,"Ivanská cesta, Bratislava",4.0
1165,Vranov nad Topľou,48.8806,21.6731,Slovakia,Košice International Airport,"Letecká 41, Košice",4.0
1166,Šaľa,48.15,17.8833,Slovakia,Bratislava Airport,"Ivanská cesta, Bratislava",4.0
1167,Hlohovec,48.4311,17.8031,Slovakia,Bratislava Airport,"Ivanská cesta, Bratislava",4.0
1168,Brezno,48.8036,19.6381,Slovakia,Poprad-Tatry Airport,"Na letisko 100, Poprad",4.4
1169,Senica,48.6806,17.3667,Slovakia,Piešťany Airport,"Žilinská cesta 597/81, Piešťany",4.4
1170,Senec,48.2189,17.3997,Slovakia,Bratislava Airport,"Ivanská cesta, Bratislava",4.0
1171,Nové Mesto nad Váhom,48.7833,17.8333,Slovakia,Piešťany Airport,"Žilinská cesta 597/81, Piešťany",4.4
1172,Snina,48.9881,22.1567,Slovakia,Uzhhorod International Airport,"Sobranets'ka St, 145, Uzhhorod",3.8
1173,Rožňava,48.6586,20.5314,Slovakia,Poprad-Tatry Airport,"Na letisko 100, Poprad",4.4
1174,Žiar nad Hronom,48.5919,18.8533,Slovakia,Sliač Airport,Sliač,4.4
1175,Malacky,48.4381,17.0236,Slovakia,Vienna International Airport,Schwechat,4.1
1176,Dolný Kubín,49.2117,19.2992,Slovakia,"Airport Zilina, Dolny Hricov",Dolný Hričov,4.6
1177,Bánovce nad Bebravou,48.7186,18.2581,Slovakia,Piešťany Airport,"Žilinská cesta 597/81, Piešťany",4.4
1178,Púchov,49.12,18.3306,Slovakia,"Airport Zilina, Dolny Hricov",Dolný Hričov,4.6
1179,Handlová,48.7272,18.7619,Slovakia,Sliač Airport,Sliač,4.4
1180,Kežmarok,49.1383,20.4292,Slovakia,Poprad-Tatry Airport,"Na letisko 100, Poprad",4.4
1181,Stará Ľubovňa,49.3167,20.6833,Slovakia,Poprad-Tatry Airport,"Na letisko 100, Poprad",4.4
1182,Madrid,40.4167,-3.7167,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1183,Barcelona,41.3825,2.1769,Spain,Josep Tarradellas Barcelona-El Prat Airport,El Prat de Llobregat,4.0
1184,Valencia,39.47,-0.3764,Spain,Valencia Airport,"Carretera del Aeropuerto, s/n, Manises",4.0
1185,Sevilla,37.39,-5.99,Spain,Seville Airport,"A-4, Km. 532, Sevilla",3.7
1186,Zaragoza,41.65,-0.8833,Spain,Zaragoza Airport,"Carretera del Aeropuerto s/n, Zaragoza",4.0
1187,Málaga,36.7194,-4.42,Spain,Málaga-Costa del Sol Airport (AGP),"Av. del Comandante García Morato, s/n",4.0
1188,Murcia,37.9861,-1.1303,Spain,Región de Murcia International Airport,"Av. de España, 101, Lo Jurado",4.1
1189,Palma,39.5667,2.65,Spain,Palma de Mallorca Airport,Palma,4.2
1190,Las Palmas,28.1272,-15.4314,Spain,Gran Canaria Airport,"GC-1, s/n, Las Palmas de Gran Canaria",4.2
1191,Bilbao,43.2569,-2.9236,Spain,Bilbao Airport,"Bo. Gaztañaga, 633, Loiu",4.1
1192,Alicante,38.3453,-0.4831,Spain,Alicante Airport,L'Altet,4.3
1193,Córdoba,37.8845,-4.7796,Spain,Córdoba Airport,"Ctra. Nacional 437, Km. 5, 8, Córdoba",3.7
1194,Valladolid,41.6528,-4.7236,Spain,Valladolid Airport,"Ctra. Adanero-Gijón, s/n, Villanubla",3.7
1195,Vigo,42.2314,-8.7124,Spain,vigo spagna,"Av. de Ourense, 71, Cangas",0.0
1196,Gijón,43.5333,-5.7,Spain,Asturias Airport (OVD),"AI-82, Santiago del Monte",4.0
1197,Vitoria-Gasteiz,42.85,-2.6833,Spain,Logrono Agoncillo Airport,"Ctra. Logroño-Zaragoza (N-232), s/n, Agoncillo",3.4
1198,A Coruña,43.3667,-8.3833,Spain,A Coruña Airport,"Av. Hermida, Rutis",4.1
1199,Elche,38.2669,-0.6983,Spain,Alicante Airport,L'Altet,4.3
1200,Granada,37.1781,-3.6008,Spain,Federico García Lorca Granada Airport,"Ctra. de Málaga, Chauchina",4.0
1201,Tarrasa,41.5611,2.0081,Spain,Josep Tarradellas Barcelona-El Prat Airport,El Prat de Llobregat,4.0
1202,Badalona,41.4333,2.2333,Spain,Josep Tarradellas Barcelona-El Prat Airport,El Prat de Llobregat,4.0
1203,Oviedo,43.36,-5.845,Spain,Asturias Airport (OVD),"AI-82, Santiago del Monte",4.0
1204,Cartagena,37.6,-0.9819,Spain,Región de Murcia International Airport,"Av. de España, 101, Lo Jurado",4.1
1205,Sabadell,41.5483,2.1075,Spain,Josep Tarradellas Barcelona-El Prat Airport,El Prat de Llobregat,4.0
1206,Jerez de la Frontera,36.6817,-6.1378,Spain,Jerez Airport,"Carretera N-IV, km. 628.5, Jerez de la Frontera",4.0
1207,Móstoles,40.3333,-3.8667,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1208,Santa Cruz,28.4667,-16.25,Spain,Tenerife Norte Airport,San Cristóbal de La Laguna,4.1
1209,Pamplona,42.8167,-1.65,Spain,Pamplona Airport,"Carr. del Aeropuerto, Noáin",4.0
1210,Almería,36.8403,-2.4681,Spain,Almería Airport,"Carretera Nijar - Alquián, Almería",4.2
1211,Alcalá de Henares,40.4818,-3.3643,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1212,Fuenlabrada,40.2833,-3.8,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1213,Donostia,43.32,-1.98,Spain,San Sebastian Airport,"Gabarrari Kalea, 22, Hondarribia",3.9
1214,Leganés,40.3281,-3.7644,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1215,Getafe,40.3047,-3.7311,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1216,Burgos,42.3408,-3.6997,Spain,Burgos Airport,"Ctra. de Logroño, 107, Burgos",4.1
1217,Albacete,38.9956,-1.8558,Spain,Albacete Airport,"02006, Albacete",4.0
1218,Castellón de la Plana,39.9831,-0.0331,Spain,Castellón–Costa Azahar Airport,"Carretera CV-13, Km. 2,4, Benlloch",3.7
1219,Santander,43.4628,-3.805,Spain,Seve Ballesteros-Santander Airport,"C. Aeropuerto, s/n, Maliaño",4.2
1220,Alcorcón,40.35,-3.8333,Spain,Adolfo Suárez Madrid–Barajas Airport,"Av de la Hispanidad, s/n, Madrid",4.0
1221,La Laguna,28.4853,-16.3167,Spain,Tenerife Norte Airport,San Cristóbal de La Laguna,4.1
1222,Logroño,42.465,-2.4456,Spain,Logrono Agoncillo Airport,"Ctra. Logroño-Zaragoza (N-232), s/n, Agoncillo",3.4
1223,Badajoz,38.8803,-6.9753,Spain,Badajoz Airport,"Ctra. Badajoz-Balboa, s/n, Badajoz",4.1
